KO_ID,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
ko04070,Phosphatidylinositol signaling system,0.303182363,1.065657541,0.346907994,0.598610838,1,23/91,17.99%,PI4K2B;IPPK;ITPK1;ITPK1-2;MTMR6;PIP4P2;PLCD1;PLCB3;IP6K2;CALM1;PLCB1;SYNJ2;DGKD;ITPKA;PIKFYVE;PIP4P1-2;PIP4P1;INPP5A;IMPA1;PIK3CB;MTMR7;BPNT2;INPP4B
ko04010,MAPK signaling pathway,-0.247710456,-1.062208041,0.262096774,0.476788091,1,57/272,13.22%,CSF1;TNFRSF1A;PDGFRB;RPS6KA2;IGF1R;DUSP5;DUSP1;ERBB2;TGFB2;MAP3K14;FGFR4;FGF9;TEK;HSPA2;EFNA5;SRF;VEGFA;HSPA1A-4;ARRB1;CACNA1A;BDNF;PDGFD;CACNA2D3;HGF;MYC;CDC25B;NR4A1;CACNG4;MRAS;FGF1;FLNA;TAB1;MAPK14;CRK;IL1R1;NF1;ANGPT1;FGFR1;CACNB2;TP53;HSPA1A-2;MAP4K3;CRKL;MAP3K8;DUSP16;DAXX-4;MAPK7;PDGFA;GRB2;CACNA1C;NFKB1;TAOK2;RASGRF1;AKT3-2;PPM1B;PRKCA;HSPA1B-3
ko00190,Oxidative phosphorylation,0.280323504,1.059876351,0.358333333,0.60499454,1,45/152,24.46%,NDUFS4;COX11;ATP6V0B;NDUFA12;UQCRH;NDUFAB1;ATP5F1B;ATP5MC1;CYCS;NDUFS2;ATP6V1G2-4;ATP6V1G2-3;ATP6V1G2-5;ATP6V1G2-6;ATP6V1G2-7;ATP6V1G2;ATP6V0A1;NDUFA1;SDHD;CYC1;ATP6V1B1;ATP5PD;ATP5F1D;NDUFA7;COX8A;SDHA;LHPP;COX6A1;ATP6V1D;COX7A2;NDUFC2;COX7A2L;COX5A;UQCRFS1;NDUFB6;NDUFB5;NDUFS1-2;ATP6V1C1;NDUFA11-2;NDUFA11;ATP5PB;NDUFV1;ATP5PO;NDUFS5;NDUFB7
ko04714,Thermogenesis,0.26648269,1.055173888,0.340599455,0.608587096,1,68/238,24.46%,RPS6;PRKG2;NDUFS4;MAPK13;CREB3L2;SMARCC1;CPT1B;COA4;COX11;SMARCD1;NDUFA12;UQCRH;NDUFAB1;MLST8;ATP5F1B;ATP5MC1;LOC124900417;ARID1B;NDUFS2;SLC25A20;SOS2;NRAS;PRKACB;SMARCE1;RPS6KB2;NDUFA1;SDHD;CYC1;ATP5PD;RPS6KA6;ATP5F1D;SMARCB1-2;SMARCB1;NDUFA7;COX8A;PRKACA;SDHA;COX20;COA7;COX6A1;ACTL6A;COX7A2;NDUFAF8;NDUFC2;COX7A2L;COX5A;RPS6KA3;UQCRFS1;NDUFAF6;NDUFB6;HRAS;SMARCA4;NDUFB5;HRAS-2;COX19;PRKAB2;NDUFS1-2;NDUFA11-2;NDUFA11;ATP5PB;NDUFV1;RPTOR;ACSL4;ATP5PO;KDM3A;NDUFS5;AKT1S1;NDUFB7
ko04657,IL-17 signaling pathway,0.309364289,1.051393357,0.357585139,0.609874805,1,10/72,6.80%,FOSL1;NFKBIA;MAPK13;HSP90AA1;TRAF6;HSP90AB1;CXCL5;CASP3;FADD;HSP90B1
ko04550,Signaling pathways regulating pluripotency of stem cells,-0.266175603,-1.050082499,0.336734694,0.495164506,1,28/133,11.98%,BMP4;STAT3;IGF1R;FZD2;WNT3-3;WNT3-2;FGFR4;HOXA1;SMAD3;PIK3CD;FZD4;WNT2;DVL2;MYC;DVL3;BMPR1B;PRSS23;MAPK14;ACVR1;LIF;FGFR1;ACVR1B;FZD9;WNT2B;GRB2;PCGF3;JAK3;POU5F1-3
ko04918,Thyroid hormone synthesis,0.329447606,1.04720006,0.384485666,0.611801577,1,15/54,15.82%,CREB3L2;HSPA5;GPX8;TTF1;PLCB3;CANX;HSP90B1;PLCB1;PRKACB;ATP1B1;ATF6B-3;SLC26A4;CANX-2;PRKACA;ATF6B-2
ko04975,Fat digestion and absorption,0.388585687,1.047184462,0.415064103,0.603227642,1,2月23日,1.43%,ABCA1;DGAT2
ko00562,Inositol phosphate metabolism,0.305533174,1.045439744,0.384036145,0.59934307,1,18/71,17.99%,PI4K2B;IPPK;ITPK1;ITPK1-2;MTMR6;PLCD1;PLCB3;TPI1;PLCB1;SYNJ2;ITPKA;PIKFYVE;INPP5A;IMPA1;PIK3CB;MTMR7;FIG4;INPP4B
ko04924,Renin secretion,0.331144586,1.044535507,0.402356902,0.593348908,1,11/51,16.32%,PRKG2;PLCB3;EDNRA;AQP1;GNAI3;CALM1;PLCB1;PRKACB;REN;PRKACA;ORAI1-2
ko04022,cGMP-PKG signaling pathway,0.281623809,1.039318629,0.385911179,0.597467495,1,28/134,15.82%,PRKG2;KCNMB3;CREB3L2;ATP2B1;MEF2C;NPPC;ATP2B4;MEF2D-2;SLC25A5;PLCB3;EDNRA;SLC25A6-2;SLC25A6;GNAI3;CALM1;PPP1CA;NFATC2;PLCB1;ADRA1D;VDAC3;VDAC1;ATP1B1;ATF6B-3;PPP1CC;RHOA;NFATC4-2;NFATC4;ATF6B-2
ko04361,Axon regeneration,0.298700169,1.037742942,0.392694064,0.593387792,1,20/84,18.23%,MAPK13;KIF2C;PSD3;KIF24;AGO2;MET;PLCB3;PLCB1;EPHB1;DGKD;PRKACB;RPS6KB2;PSD2;PRKACA;PSD;RHOA;PIK3CB;MAPK8;ROBO2;KIF2A
ko04728,Dopaminergic synapse,0.287141611,1.033684707,0.394080997,0.595248861,1,24/110,16.92%,MAPK13;CREB3L2;PPP2R3A;GNG2;PLCB3;GNB4;PPP2CA;GNAI3;CALM1;CLOCK;PPP2R3C;PPP2R5E;PPP1CA;PLCB1;GSK3A;KIF5B;PRKACB;PPP2R5D;ATF6B-3;PPP1CC;PRKACA;CAMK2B;ATF6B-2;MAPK8
ko04218,Cellular senescence,0.26716625,1.033032768,0.384720327,0.589094031,1,40/180,15.60%,SERPINE1;CDK6;CDC25A;MAPK13;CCNB2;MYBL2;CCND1;EIF4EBP1;NBN;RBL1;CAPN2;SLC25A5;CCNB1;CDK4;CCNA2;SLC25A6-2;SLC25A6;CALM1;PPP1CA;TRPM7;NFATC2;LOC124901482;NRAS;CDK1;CDK2;SIRT1;MRE11;ATOSA;VDAC3;VDAC1;RBBP4;LIN9;PPP1CC;ATR;TGFB1;MDM2;HLA-C-6;NFATC4-2;NFATC4;ETS1
ko04979,Cholesterol metabolism,-0.332382898,-1.028958696,0.383419689,0.532113956,1,8/37,9.85%,LDLR;LRP1;SORT1;NPC1;LDLRAP1;STAR;SCARB1;LIPA
ko00052,Galactose metabolism,-0.351904267,-1.024282476,0.387811634,0.535852942,1,9月25日,18.80%,HK1;AKR1B1;HKDC1;PGM1;GALM;GAA-2;GAA;GLB1;GLA
ko00220,Arginine biosynthesis,0.409007687,1.020456108,0.450420168,0.610880312,1,5月17日,31.19%,GOT1;GLUD1;ASL;ACY1;NOS3
ko00450,Selenocompound metabolism,0.383363787,1.012069267,0.441455696,0.623228745,1,7月19日,12.43%,KYAT1-SPOUT1;PSTK;MARS1;SEPHS2;MTR;ZNF138;SEPSECS
ko04540,Gap junction,0.291290363,1.003369518,0.462822458,0.635573693,1,15/80,11.39%,PRKG2;TUBA1B;TUBA1C;TUBB-5;PLCB3;EGFR;GNAI3;TUBB4B;MAP2K5;PLCB1;SOS2;NRAS;CDK1;TJP1;PRKACB
ko00010,Glycolysis / Gluconeogenesis,-0.290614232,-1.001996541,0.419525066,0.57825797,1,10/53,7.44%,ALDH1B1;ALDH2;ALDH3B1;HK1;ADH5;PDHB;HKDC1;PGM1;ALDOC;ADPGK
ko04670,Leukocyte transendothelial migration,0.289532849,1.001927531,0.46935725,0.631212698,1,12/92,9.74%,MSN;RAC2;CLDN1;MAPK13;PXN;RAP1B;ITGB1;CLDN5;AFDN;VAV2;GNAI3;CLDN4
ko00860,Porphyrin and chlorophyll metabolism,-0.349861513,-0.992467506,0.430517711,0.592820588,1,4月25日,9.57%,HMOX1;FECH;BLVRA;MMAB
ko00900,Terpenoid backbone biosynthesis,0.361006241,0.983176998,0.478618421,0.669019553,1,4月21日,7.03%,ZMPSTE24;PDSS1;FNTA;ICMT
ko04530,Tight junction,0.258084825,0.980365791,0.511954993,0.668166798,1,41/155,19.28%,MSN;ARPC2;CLDN1;TUBA1B;TUBA1C;MAGI1;ARPC5L;RDX;ITGB1;CCND1;CLDN5;ARPC1B;CDK4;RAPGEF6;AFDN;PPP2CA;ARPC1A;TJP2;CLDN4;ACTR2;RUNX1;TJP1;MYH10;PRKCZ;PRKACB;HCLS1;PCNA;LLGL1;PRKACA;RHOA;MICALL2;ARPC4;OCLN;MYL12A;MAPK8;ROCK1;NEDD4;MPDZ;TUBA8;RAP2C;HSPA4
ko04910,Insulin signaling pathway,-0.25172229,-0.976802566,0.460567823,0.621379171,1,24/133,9.86%,SOCS3;INPPL1;RAPGEF1;IRS1;IRS2;HK1;LIPE;PTPN1;PIK3CD;PRKAG2;MTOR;SHC3;PPP1R3F;HKDC1;ACACA;FASN;CRK;EXOC7;PYGM;PPP1R3E;PPP1R3C;SOCS1;PPP1R3B;CRKL
ko04136,Autophagy - other,-0.315098008,-0.975868254,0.468571429,0.616414158,1,4/32,7.24%,GABARAPL1;ULK2;MTOR;ATG16L1-2
ko04152,AMPK signaling pathway,-0.249833566,-0.972983012,0.459807074,0.616083148,1,16/112,6.88%,IGF1R;CPT1C;ADIPOR2;IRS1;SCD;IRS2;LIPE;PIK3CD;CPT1A;PFKFB3;PRKAG2;MTOR;ACACA;PFKFB2;PPARG;FASN
ko04210,Apoptosis,0.259852124,0.970230402,0.508571429,0.684294315,1,44/134,23.67%,TUBA1B;RIPK1;NFKBIA;DIABLO;BIRC2;LMNB1;TUBA1C;CASP3;CAPN2;DDIT3;FADD;CYCS;CASP2;PTPN13;BBC3;BIRC5;NRAS;BAK1;TRAF2;PARP1;BCL2L1;PMAIP1;EIF2AK3;HTRA2;PIK3CB;ERN1;MAPK8;CTSO;CTSO-2;LMNB2;AIFM1;PARP4;ATF4;TUBA8;DAXX-3;HRAS;FOS;HRAS-2;MAP2K1;PIK3R3;BID;BAX;AKT2;PIDD1
ko04014,Ras signaling pathway,-0.231888956,-0.966577477,0.527972028,0.624078581,1,42/192,14.79%,CSF1;PDGFRB;KSR1;IGF1R;FGFR4;FGF9;TEK;EFNA5;VEGFA;RAB5B;PLCG1;PIK3CD;BDNF;PDGFD;HGF;RGL2-5;SHC3;MRAS;FGF1;NF1;ANGPT1;FGFR1;GNB5;RGL1;GNB3;ETS2;PDGFA;GRB2;RGL2;NFKB1;TIAM1;RASGRF1;AKT3-2;GNG4;SYNGAP1-2;PRKCA;GAB2;FGF22;ABL1;NTF3;GNG7;RALGDS
ko04720,Long-term potentiation,0.297529881,0.963952426,0.510569106,0.691253679,1,23/57,26.14%,RAP1B;CAMK4;PLCB3;ARAF;CALM1;PPP1CA;PLCB1;NRAS;PRKACB;RPS6KA6;PPP1CC;PRKACA;CAMK2B;ATF4;RPS6KA3;HRAS;BRAF;HRAS-2;MAP2K1;GNAQ;RAP1A;PPP3CA;CALM3
ko04660,T cell receptor signaling pathway,0.27752278,0.955078716,0.543154762,0.703614453,1,25/79,25.94%,NFKBIA;MAPK13;NFKBIE;CDK4;VAV2;PAK1;NFATC2;SOS2;NRAS;BCL10;CSF2;CBLB;RHOA;PIK3CB;MAPK8;ZAP70-2;HRAS;FOS;HRAS-2;MAP2K1;PIK3R3;AKT2;PDPK1;PPP3CA;DLG1
ko04927,Cortisol synthesis and secretion,-0.288264027,-0.952577056,0.485411141,0.650015312,1,10/52,11.76%,LDLR;ADCY9;ITPR1;STAR;NR4A1;ADCY3;ATF6B;SCARB1;CACNA1C;CREB3L1
ko04137,Mitophagy - animal,0.280206129,0.95187561,0.549467275,0.703043533,1,30/79,25.06%,ULK1;CSNK2B;CSNK2B-4;CSNK2B-2;CSNK2B-3;BNIP3L;UBB;CSNK2A2;TBC1D15;RHOT1;RPS27A;NRAS;CSNK2A1;BCL2L1;GABARAP;EIF2AK3;MAPK8;E2F1;ATF4;HRAS;NBR1;PGAM5;HRAS-2;BNIP3;TAX1BP1;LOC107986346;USP15;MFN2;MFN1;FIS1
ko00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.336938164,0.950060576,0.544049459,0.69928593,1,15/27,37.68%,PGAP1;PIGW-2;PIGW;DPM2;PIGA;PIGB;GPAA1;LOC124906255;PIGK;PIGZ;GPLD1;MPPE1;PIGL;PIGH;PIGX
ko04212,Longevity regulating pathway - worm,0.272384054,0.948712093,0.564220183,0.694583919,1,22/85,18.34%,MT2A;MT1E;MAPK13;GSTO1;HSPA9;MT1X;HSPD1;YWHAQ;HCFC2;SIRT1;PARP1;RPS6KB2;YWHAB;YWHAZ;PPP4R3A;GABARAP;FAR2;PIK3CB;MAPK8;PARP4;GSTA4;ATF4
ko03320,PPAR signaling pathway,0.293281222,0.943076248,0.574766355,0.699643374,1,7/56,5.43%,PLIN2;PCK2;CPT1B;ANGPTL4;FABP5;ACADM;FABP4
ko04713,Circadian entrainment,0.276669786,0.941008445,0.567233385,0.696701066,1,12/71,15.12%,PRKG2;GNG2;PLCB3;GNB4;RASD1;GNAI3;CALM1;PLCB1;PRKACB;PRKACA;CAMK2B;RPS6KA5
ko00514,Other types of O-glycan biosynthesis,0.301363861,0.927484158,0.567651633,0.719012071,1,9/41,17.19%,GALNT6;GALNT1;C1GALT1;GALNT18;GALNT7;B4GALT1;C1GALT1C1L;ST3GAL3;COLGALT1
ko04745,Phototransduction - fly,-0.321991323,-0.923381839,0.539440204,0.711061878,1,7月24日,14.71%,ITPR1;ACTG1-2;ACTG1;ACTB;PRKCA;GRK2;CAMK2G
ko02010,ABC transporters,-0.281440826,-0.921888242,0.541333333,0.706917119,1,16/47,18.95%,ABCC1;ABCC3;ABCB6;ABCC1-2;TAP2;ABCC5;ABCC11;ABCA4;ABCA8;TAP1-6;TAP1-5;TAP1-3;TAP1-7;TAP1-2;TAP1;CFTR
ko00500,Starch and sucrose metabolism,-0.314710399,-0.920861338,0.535064935,0.701831605,1,8月26日,14.27%,HK1;GYG2;HKDC1;PGM1;GYG1;PYGM;GAA-2;GAA
ko04211,Longevity regulating pathway,-0.251669853,-0.920016102,0.554140127,0.696322776,1,20/93,13.24%,IGF1R;ADCY9;ADIPOR2;IRS1;IRS2;PIK3CD;PRKAG2;MTOR;PPARG;ADCY3;EHMT1;TP53;ATF6B;ADIPOR2-2;SOD2;CREB3L1;TSC1;NFKB1;AKT3-2;TSC2
ko04722,Neurotrophin signaling pathway,-0.242010553,-0.919182506,0.580838323,0.690637286,1,15/119,6.94%,RPS6KA2;BEX3;RAPGEF1;MAGED1;IRS1;PLCG1;SORT1;PIK3CD;BDNF;SHC3;IRAK3;PSEN2;TP73;MAPK14;CRK
ko04922,Glucagon signaling pathway,0.262412513,0.916486522,0.616666667,0.735821828,1,21/87,18.41%,CREB3L2;PCK2;CPT1B;ACACA-2;PHKA1;PLCB3;PYGB;PCK2-2;CALM1;PDHA1;PHKB;PLCB1;SIRT1;PRKACB;PPP4R3A;PRKACA;CAMK2B;LDHB;PHKG1;ATF4;PGAM4
ko03050,Proteasome,0.277774218,0.916295182,0.5975039,0.728464762,1,29/61,30.19%,PSMD2;PSMD7;PSMD13;PSMB2;PSMD9;PSMD12;PSMA1;PSMD14;PSMC2;PSMB7;PSMB3;PSMA6;PSMB3-2;PSME4;PSMB1;PSMC6;PSMB6;PSMB5;PSMC1;PSMD3;PSMB8-4;PSMD8;PSMD1;PSME2-2;SEM1;PSME2;PSMC3;PSMC4-2;PSMC4
ko04972,Pancreatic secretion,0.28549151,0.914071899,0.604724409,0.725704407,1,17/50,24.93%,ATP2B1;ATP2B4;RAP1B;PLCB3;SLC12A2;PLCB1;RAB11A;ATP1B1;PLA2G3;RHOA;TRPC1;KCNMA1;PLA2G12A;SLC9A1;GNAQ;SLC4A4;RAP1A
ko04925,Aldosterone synthesis and secretion,-0.249291525,-0.903158295,0.619946092,0.720910838,1,19/80,16.38%,LDLR;ADCY9;ITPR1;LIPE;STAR;NR4A1;ATP1B3;PRKD1;ADCY3;ATF6B;SCARB1;CACNA1C;CREB3L1;ATP1A1;PRKCA;PRKCE;CAMK2G;C12orf60;ATF6B-4
ko04727,GABAergic synapse,-0.26049456,-0.898978142,0.63760218,0.723404006,1,18/67,18.34%,GABARAPL1;ADCY9;ABAT;CACNA1A;GABBR1;ADCY3;GNB5;HAP1;GNB3;CACNA1C;GNG4;PRKCA;GNG7;GABBR1-5;GABRA2;ADCY6;GLS;GABRE
ko00062,Fatty acid elongation,0.308794592,0.876264893,0.639016897,0.799371382,1,9月28日,20.23%,ELOVL6;HADH;ELOVL1;ACOT7;HADHA;HACD2;ELOVL5;HACD3;PPT2-5
ko00564,Glycerophospholipid metabolism,-0.2325058,-0.872009455,0.698717949,0.779340129,1,20/90,17.64%,PTDSS1;PLPP3;AGPAT3;LPCAT3;CDS2;MBOAT7-3;LPIN1;PTDSS2-2;PISD;PLD3;PGS1;TAFAZZIN;AGPAT4;PHOSPHO1;LPCAT1;MBOAT7-9;LPCAT4-2;CHKA;CDIPT;PLPP1
ko00650,Butanoate metabolism,-0.322165731,-0.869993443,0.625974026,0.776026668,1,5月19日,11.44%,ABAT;HMGCS1;AACS;BDH2;EHHADH
ko04724,Glutamatergic synapse,-0.24251022,-0.86938835,0.621621622,0.769729504,1,15/84,13.12%,ADCY9;SHANK2;ITPR1;CACNA1A;GRIK4;ADCY3;GRIK2;GNB5;GNB3;CACNA1C;GRIN2C;GNG4;PRKCA;GRK2;GRIK5
ko00280,"Valine, leucine and isoleucine degradation",-0.265480743,-0.864853549,0.664772727,0.772139533,1,13/48,14.46%,ALDH1B1;ALDH2;ALDH6A1;ABAT;HMGCS1;DBT;AACS;PCCB;EHHADH;ALDH7A1;ACAD8;PCCA;IL4I1
ko04071,Sphingolipid signaling pathway,0.236471352,0.864325101,0.7228739,0.81630363,1,34/116,24.90%,RAC2;MAPK13;SPHK1;PPP2R3A;SPTLC2;S1PR5;PLCB3;PPP2CA;GNAI3;PPP2R3C;PPP2R5E;PLCB1;NRAS;ASAH2B;TRAF2;PRKCZ;PPP2R5D;RHOA;SMPD2;PIK3CB;MAPK8;ROCK1;HRAS;HRAS-2;MAP2K1;PIK3R3;BID;PPP2R1A;BAX;AKT2;GNA13;GNAQ;PDPK1;PPP2R5C
ko04340,Hedgehog signaling pathway,-0.260795297,-0.85551044,0.666666667,0.783775616,1,5/52,3.42%,GLI2;PTCH1;ARRB1;GAS1;MEGF8
ko04916,Melanogenesis,0.241102473,0.849651601,0.747336377,0.837562133,1,16/93,11.39%,KITLG;CREB3L2;TCF7;FZD1;WNT5B;SARS1;WNT16;PLCB3;GNAI3;CALM1;FZD7;RNF227;PLCB1;NRAS;TCF7L2;PRKACB
ko00590,Arachidonic acid metabolism,-0.268023274,-0.844678707,0.705539359,0.799300502,1,3/37,1.50%,PTGES;AKR1C3;PTGS1
ko00510,N-Glycan biosynthesis,-0.251166363,-0.833971274,0.726287263,0.813968636,1,4/48,5.18%,MAN1C1;MGAT5;MGAT3;MGAT1
ko00620,Pyruvate metabolism,0.270301333,0.829019804,0.743710692,0.868357227,1,7/40,9.91%,PCK2;ACACA-2;PDHX;PCK2-2;FH;PDHA1;ALDH16A1
ko04966,Collecting duct acid secretion,0.296115619,0.828578955,0.693146417,0.860513023,1,8月29日,12.70%,ATP6V1G2-4;ATP6V1G2-3;ATP6V1G2-5;ATP6V1G2-6;ATP6V1G2-7;ATP6V1G2;ATP6V0A1;ATP6V1B1
ko04260,Cardiac muscle contraction,-0.228263778,-0.82809954,0.760806916,0.818099586,1,13/68,14.51%,TPM1;MYL3;CYTB;COX1;CACNA2D3;CACNG4;ATP1B3;CACNB2;COX3;CACNA1C;ATP1A1;ATP2A2;COX7C
ko04725,Cholinergic synapse,0.230213449,0.813273088,0.821162444,0.879946861,1,24/90,24.37%,CREB3L2;KCNQ5;GNG2;CHRM2;CAMK4;JAK2;PLCB3;GNB4;GNAI3;PLCB1;NRAS;PRKACB;PRKACA;CAMK2B;PIK3CB;ATF4;HRAS;FOS;HRAS-2;MAP2K1;PIK3R3;AKT2;GNAQ;KCNQ3
ko04130,SNARE interactions in vesicular transport,-0.260371102,-0.811747377,0.751396648,0.842514227,1,9/33,17.17%,VAMP8;STX3;STX17;GOSR2;VAMP5;STX11;STX6;STX16;STX2
ko00513,Various types of N-glycan biosynthesis,-0.250800949,-0.801840253,0.763224181,0.852238076,1,8/36,18.19%,MAN1C1;MGAT1;HEXA;HEXD;ALG14;RPN1;B4GALNT4;DDOST
ko04726,Serotonergic synapse,0.23440418,0.801450911,0.799058085,0.891638336,1,25/72,28.49%,GNG2;CASP3;PLA2G4A;PLCB3;GNB4;ARAF;GNAI3;PLCB1;NRAS;GABRB1;PRKACB;PRKACA;TRPC1;PLA2G4C;HRAS;BRAF;HRAS-2;MAP2K1;LOC112268342;GNAQ;PTGS2;CYP2J2;HTR7;GNG12;KCNN2
ko04742,Taste transduction,0.251448521,0.797820183,0.802907916,0.888886125,1,7/47,17.85%,GABBR2;PLCB3;PLCB1;PRKACB;PRKACA;GABBR1-3;TAS2R1
ko03022,Basal transcription factors,0.245723946,0.794143122,0.794478528,0.886318911,1,24/55,31.89%,TAF9B;TAF1;MNAT1;TAF15-2;TAF6L;GTF2H2C-3;TAF13;TAF3;TAF8;TAF2;GTF2A1;GTF2B;GTF2F1;TBP;TAF7;GTF2H3;ERCC2;GTF2E1;GTF2H4-6;GTF2H4;GTF2H4-4;GTF2H4-2;TAF15;CCNH
ko04929,GnRH secretion,0.240271872,0.791351836,0.800940439,0.882070988,1,19/61,28.49%,GABBR2;PLCB3;PLCB1;NRAS;KCNN4;PIK3CB;TRPC1;GABBR1-3;HCN2;HRAS;HRAS-2;MAP2K1;PIK3R3;AKT2;GNAQ;SPP1;HCN3-2;HCN3;KCNN2
ko00630,Glyoxylate and dicarboxylate metabolism,-0.262513216,-0.787761804,0.757255937,0.869464755,1,6月29日,17.52%,ACO1;AFMID;PCCB;PCCA;HOGA1;ACSS2
ko04146,Peroxisome,-0.213604166,-0.774989498,0.861189802,0.881576647,1,18/79,15.49%,MPV17L;PEX13;MVK;PEX11B;DHRS4-2;PEX2;ECH1-2;ECH1;CROT;PEX19;SOD2;EHHADH;SLC25A17;DHRS4L2;AGPS;PEX6;DHRS4;PMVK
ko00640,Propanoate metabolism,-0.253572919,-0.769437199,0.798941799,0.88137251,1,9/31,17.52%,ALDH6A1;ABAT;ACACA;DBT;PCCB;EHHADH;PCCA;HIBCH;ACSS2
ko04911,Insulin secretion,0.233251045,0.769299363,0.857605178,0.906266097,1,12/59,16.27%,KCNMB3;CREB3L2;PLCB3;PLCB1;PRKACB;ATP1B1;ATF6B-3;PRKACA;CAMK2B;STX1A;ATF6B-2;KCNN4
ko04620,Toll-like receptor signaling pathway,0.22296972,0.765224386,0.865067466,0.903337436,1,6/77,7.35%,RIPK1;NFKBIA;MAPK13;TRAF6;FADD;IRF3
ko00565,Ether lipid metabolism,-0.243488725,-0.763507733,0.813753582,0.882007064,1,9/36,17.64%,PLPP3;PLD3;AGPS;GDPD1;PAFAH2;LPCAT1;PEDS1-UBE2V1;LPCAT4-2;PLPP1
ko00310,Lysine degradation,0.226226278,0.757540575,0.905263158,0.905154431,1,23/66,29.10%,MECOM;EZH2;SUV39H1;HADH;BCL7C;EHMT2-6;KMT5B;ALDH16A1;DLST;SETD2;HADHA;COLGALT1;ALDH9A1;DOT1L;AADAT;SETMAR;ASH1L;DLD;KMT2C;NSD3;EHMT2-7;EHMT2-3;DHTKD1
ko04973,Carbohydrate digestion and absorption,-0.249721539,-0.750301055,0.818877551,0.891836045,1,6月29日,12.60%,HK1;PIK3CD;ATP1B3;HKDC1;AKT3-2;ATP1A1
ko04740,Olfactory transduction,-0.219114064,-0.745623039,0.887640449,0.889931223,1,24/58,25.24%,ARRB1;ADCY3;LRRC32;OR1F1;RGS2;PDE1A;CNGA3;GNAL;GRK2;GNG7;CAMK2G;ARRB2;OR10A3-2;OR10A3;OR10A3-3;CALML4;OR2S2;OR10A6-3;OR10A6;OR10A6-2;OR10H1;OR7D2;OR2M3;OR51B5
ko04921,Oxytocin signaling pathway,-0.19245598,-0.743845667,0.93255132,0.884074902,1,27/128,16.63%,ADCY9;MYLK;ITPR1;ACTG1-2;ACTG1;KCNJ12;CACNA2D3;PRKAG2;CACNG4;NPR2;KCNJ2;KCNJ14;OXTR;ACTB;ADCY3;CACNB2;RGS2;MAPK7;CACNA1C;EEF2K-2;PRKCA;MYLK3;PPP1R12B;CAMK2G;RAF1;C12orf60;MYL9
ko04723,Retrograde endocannabinoid signaling,0.193875017,0.729341908,0.956458636,0.92975995,1,35/131,28.21%,NDUFS4;MAPK13;GNG2;NDUFA12;NDUFAB1;PLCB3;GNB4;GNAI3;NDUFS2;PLCB1;GABRB1;PRKACB;NDUFA1;NDUFA7;PRKACA;NAPEPLD-2;RIMS1;MAPK8;NDUFC2;NDUFB6;NDUFB5;NDUFS1-2;NDUFA11-2;NDUFA11;NDUFV1;GNAQ;NDUFS5;NDUFB7;PTGS2;NDUFS3;NDUFS3-2;GNG12;NDUFS1;NDUFA4L2;GABRR2
ko04962,Vasopressin-regulated water reabsorption,0.236556267,0.728432195,0.881804044,0.922188577,1,11/43,19.31%,CREB3L2;DCTN6;PRKACB;RAB11A;PRKACA;LRRC37A2;DYNC1LI2;RAB5A;NSF;NSF-3;DYNC1I1
ko00601,Glycosphingolipid biosynthesis - lacto and neolacto series,0.275935955,0.726605164,0.836833603,0.915832911,1,6月20日,24.12%,FUT1;B4GALT1;ST3GAL3;B3GALT5;B3GNT5;B4GALT3
ko00350,Tyrosine metabolism,-0.25054182,-0.721393437,0.814249364,0.901806374,1,4月22日,9.18%,ALDH3B1;ADH5;MAOA;AOC3
ko04744,Phototransduction,0.204618326,0.509852963,0.975490196,0.995980297,1,6月15日,39.56%,CALM1;GUCA1B;CALM3;PDE6G;GUCA1A;SLC24A1
